Date, Open, High, Low, Close
11/23/16, 6819.72, 6880.74, 6779.45, 6817.71
11/22/16, 6777.96, 6851.37, 6777.96, 6819.72
11/21/16, 6775.77, 6820.90, 6754.16, 6777.96
11/18/16, 6794.71, 6811.62, 6740.34, 6775.77
11/17/16, 6749.72, 6798.75, 6745.08, 6794.71
11/16/16, 6792.74, 6810.53, 6735.69, 6749.72
11/15/16, 6753.18, 6820.52, 6753.18, 6792.74
11/14/16, 6730.43, 6814.19, 6730.43, 6753.18
11/11/16, 6827.98, 6849.04, 6709.72, 6730.43
11/10/16, 6911.84, 6997.25, 6799.05, 6827.98
11/09/16, 6843.13, 6911.84, 6696.33, 6911.84
11/08/16, 6806.90, 6849.31, 6795.06, 6843.13
11/07/16, 6693.26, 6806.90, 6693.26, 6806.90
11/04/16, 6790.51, 6790.52, 6676.56, 6693.26
11/03/16, 6845.42, 6873.21, 6790.51, 6790.51
11/02/16, 6917.14, 6917.14, 6845.42, 6845.42
11/01/16, 6954.22, 6993.79, 6903.61, 6917.14
10/31/16, 6996.26, 6996.26, 6945.29, 6954.22
10/28/16, 6986.57, 7006.43, 6927.21, 6996.26
10/27/16, 6958.09, 7003.93, 6924.05, 6986.57
10/26/16, 7017.64, 7017.64, 6917.77, 6958.09
10/25/16, 6986.40, 7067.23, 6985.92, 7017.64
10/24/16, 7020.47, 7067.34, 6983.40, 6986.40
10/21/16, 7026.90, 7058.39, 7011.09, 7020.47
10/20/16, 7021.92, 7047.55, 6998.84, 7026.90
10/19/16, 7000.06, 7031.20, 6975.92, 7021.92
10/18/16, 6947.55, 7033.02, 6946.39, 7000.06
10/17/16, 7013.55, 7013.55, 6937.43, 6947.55
10/14/16, 6977.74, 7055.18, 6977.74, 7013.55
10/13/16, 7024.01, 7024.01, 6930.04, 6977.74
10/12/16, 7070.88, 7079.42, 7015.76, 7024.01
10/11/16, 7097.50, 7129.83, 7061.36, 7070.88
10/10/16, 7044.39, 7104.49, 7024.08, 7097.50
10/07/16, 6999.96, 7079.25, 6999.96, 7044.39
10/06/16, 7033.25, 7049.34, 6999.96, 6999.96
10/05/16, 7074.34, 7076.71, 7024.13, 7033.25
