"Date","Price","Open","High","Low","Vol.","Change %"
"Aug 13, 2015","8,311.74","8,284.96","8,348.39","8,271.69","2.00B","0.34%"
"Aug 12, 2015","8,283.38","8,365.15","8,376.59","8,235.95","2.32B","-1.32%"
"Aug 11, 2015","8,394.14","8,542.13","8,586.22","8,393.08","2.18B","-0.86%"
"Aug 10, 2015","8,466.84","8,410.63","8,484.18","8,374.08","1.71B","0.29%"
"Aug 07, 2015","8,442.29","8,409.01","8,458.04","8,368.40","1.65B","-0.09%"
"Aug 06, 2015","8,449.56","8,564.55","8,586.24","8,404.67","2.00B","-1.09%"
"Aug 05, 2015","8,542.27","8,504.94","8,563.01","8,486.27","1.85B","0.37%"
"Aug 04, 2015","8,510.86","8,538.44","8,590.30","8,433.92","2.24B","-0.16%"
"Aug 03, 2015","8,524.41","8,636.53","8,636.53","8,482.92","1.82B","-1.63%"
"Jul 31, 2015","8,665.34","8,670.92","8,676.29","8,591.37","2.02B","0.16%"
"Jul 30, 2015","8,651.49","8,567.23","8,697.18","8,567.23","2.01B","1.03%"
"Jul 29, 2015","8,563.48","8,587.70","8,619.41","8,516.23","2.05B","-0.22%"
"Jul 28, 2015","8,582.49","8,566.42","8,635.88","8,532.00","2.27B","0.30%"
"Jul 27, 2015","8,556.68","8,733.24","8,733.24","8,553.09","2.32B","-2.41%"
"Jul 24, 2015","8,767.86","8,809.65","8,811.76","8,733.43","1.62B","-0.26%"
"Jul 23, 2015","8,791.12","8,865.36","8,895.88","8,751.71","2.08B","-1.43%"
"Jul 22, 2015","8,918.70","8,955.59","8,968.39","8,896.10","1.72B","-0.97%"
"Jul 21, 2015","9,005.96","8,997.56","9,010.71","8,940.38","1.71B","0.34%"
"Jul 20, 2015","8,975.00","9,085.00","9,124.88","8,952.64","1.77B","-0.78%"
"Jul 17, 2015","9,045.98","9,060.92","9,079.23","9,018.00","1.62B","0.04%"
"Jul 16, 2015","9,042.21","9,062.76","9,085.31","9,021.82","1.67B","-0.13%"
"Jul 15, 2015","9,054.20","9,063.54","9,089.47","9,005.10","1.79B","0.14%"
"Jul 14, 2015","9,041.76","9,061.58","9,124.76","9,041.76","2.14B","0.09%"
"Jul 13, 2015","9,033.92","8,946.72","9,041.88","8,946.72","2.08B","1.34%"
"Jul 10, 2015","8,914.13","8,861.28","8,946.24","8,750.92","2.59M","0.00%"
"Jul 09, 2015","8,914.13","8,861.28","8,946.24","8,750.92","2.59B","-0.69%"
"Jul 08, 2015","8,976.11","9,225.91","9,225.91","8,946.75","3.06B","-2.96%"
"Jul 07, 2015","9,250.16","9,278.33","9,332.97","9,244.46","1.87B","-0.06%"
"Jul 06, 2015","9,255.96","9,309.86","9,347.54","9,255.96","1.58B","-1.09%"
"Jul 03, 2015","9,358.23","9,369.50","9,369.50","9,265.14","1.57B","-0.22%"
"Jul 02, 2015","9,379.24","9,372.46","9,400.68","9,350.05","1.75B","0.04%"
"Jul 01, 2015","9,375.23","9,311.76","9,404.76","9,298.36","1.62B","0.56%"
"Jun 30, 2015","9,323.02","9,223.27","9,323.02","9,204.45","1.86B","0.94%"
"Jun 29, 2015","9,236.10","9,358.96","9,358.96","9,227.11","1.87B","-2.39%"
"Jun 26, 2015","9,462.57","9,481.95","9,489.91","9,442.94","1.58B","-0.15%"
"Jun 25, 2015","9,476.34","9,415.78","9,500.57","9,415.78","2.10B","0.84%"
"Jun 24, 2015","9,397.31","9,390.27","9,409.44","9,364.38","1.73B","0.07%"
"Jun 23, 2015","9,391.14","9,375.78","9,438.39","9,375.78","1.94B","0.53%"
"Jun 22, 2015","9,341.77","9,247.76","9,371.48","9,247.76","1.99B","1.34%"
"Jun 18, 2015","9,218.37","9,189.44","9,243.84","9,187.87","1.96B","0.31%"
"Jun 17, 2015","9,189.83","9,232.81","9,242.22","9,170.09","2.05B","-0.25%"
"Jun 16, 2015","9,212.78","9,272.70","9,272.70","9,177.95","1.74B","-0.50%"
"Jun 15, 2015","9,259.48","9,304.66","9,324.94","9,252.34","1.60B","-0.46%"
"Jun 12, 2015","9,301.93","9,304.75","9,339.33","9,263.41","1.71B","-0.01%"
"Jun 11, 2015","9,302.49","9,330.99","9,358.48","9,251.18","2.06B","0.04%"
"Jun 10, 2015","9,298.50","9,246.66","9,334.50","9,246.66","2.19B","1.16%"
"Jun 09, 2015","9,191.87","9,346.11","9,363.52","9,191.87","2.79B","-1.88%"
"Jun 08, 2015","9,368.43","9,324.22","9,419.22","9,258.98","2.18B","0.30%"
"Jun 05, 2015","9,340.13","9,328.02","9,371.41","9,272.94","2.48B","-0.09%"
"Jun 04, 2015","9,348.63","9,537.09","9,558.77","9,325.01","2.95B","-2.18%"
"Jun 03, 2015","9,556.52","9,617.75","9,645.48","9,550.44","2.29B","-0.60%"
"Jun 02, 2015","9,614.26","9,619.88","9,657.02","9,584.56","2.13B","-0.12%"
"Jun 01, 2015","9,625.69","9,688.13","9,692.34","9,589.09","1.98B","-0.78%"
"May 29, 2015","9,701.07","9,727.59","9,747.27","9,693.00","3.16B","-0.12%"
"May 28, 2015","9,712.84","9,741.57","9,766.21","9,704.93","2.37B","0.20%"
"May 27, 2015","9,693.54","9,666.89","9,710.29","9,648.71","2.38B","0.25%"
"May 26, 2015","9,669.41","9,688.31","9,724.36","9,649.62","1.73B","0.25%"
"May 25, 2015","9,645.17","9,654.28","9,654.28","9,589.32","1.57B","0.07%"
"May 22, 2015","9,638.80","9,606.51","9,674.77","9,606.51","2.18B","0.63%"
