"Date","Price","Open","High","Low","Change %"
"Jan 10, 2013","54.425","54.760","54.855","54.425","-0.70%"
"Jan 09, 2013","54.810","55.000","55.095","54.725","-0.28%"
"Jan 08, 2013","54.965","55.165","55.395","54.935","-0.47%"
"Jan 07, 2013","55.225","55.040","55.345","54.825","0.52%"
"Jan 04, 2013","54.940","54.460","55.185","54.360","0.80%"
"Jan 03, 2013","54.505","54.355","54.615","54.175","0.49%"
"Jan 02, 2013","54.240","54.688","54.688","54.240","-0.81%"
"Jan 01, 2013","54.685","54.995","54.995","54.665","-0.56%"
"Dec 31, 2012","54.995","54.805","55.005","54.625","0.43%"
"Dec 28, 2012","54.760","54.944","54.980","54.755","-0.32%"
"Dec 27, 2012","54.935","54.805","55.020","54.695","0.16%"
"Dec 26, 2012","54.845","54.995","55.115","54.815","-0.31%"
"Dec 25, 2012","55.015","55.015","55.015","55.015","0.11%"
"Dec 24, 2012","54.955","55.035","55.215","54.955","-0.20%"
"Dec 21, 2012","55.065","54.835","55.285","54.685","0.35%"
"Dec 20, 2012","54.875","54.565","54.935","54.485","0.35%"
"Dec 19, 2012","54.685","54.945","54.945","54.515","-0.46%"
"Dec 18, 2012","54.935","54.815","55.065","54.635","0.15%"
"Dec 17, 2012","54.855","54.375","54.895","54.285","0.75%"
"Dec 14, 2012","54.445","54.545","54.695","54.275","-0.13%"
"Dec 13, 2012","54.515","54.335","54.535","54.115","0.68%"
"Dec 12, 2012","54.145","54.215","54.345","54.140","-0.22%"
"Dec 11, 2012","54.265","54.495","54.495","54.255","-0.17%"
"Dec 10, 2012","54.355","54.315","54.575","54.245","0.02%"
"Dec 07, 2012","54.345","54.255","54.565","54.115","0.20%"
"Dec 06, 2012","54.235","54.555","54.585","54.030","-0.37%"
"Dec 05, 2012","54.435","54.690","54.690","54.425","-0.57%"
"Dec 04, 2012","54.745","54.735","54.975","54.610","-0.05%"
"Dec 03, 2012","54.775","54.355","54.785","54.250","0.94%"
"Nov 30, 2012","54.265","54.845","54.845","54.230","-0.83%"
"Nov 29, 2012","54.720","55.640","55.640","54.710","-1.78%"
"Nov 28, 2012","55.710","55.545","55.720","55.545","0.46%"
"Nov 27, 2012","55.455","55.545","55.782","55.355","-0.34%"
"Nov 26, 2012","55.643","55.465","55.895","55.435","0.35%"
"Nov 23, 2012","55.450","55.220","55.610","55.200","0.59%"
"Nov 22, 2012","55.125","55.085","55.290","55.005","0.02%"
"Nov 21, 2012","55.115","55.105","55.375","55.022","0.02%"
"Nov 20, 2012","55.105","55.065","55.145","54.785","0.24%"
"Nov 19, 2012","54.975","55.155","55.175","54.910","-0.34%"
"Nov 16, 2012","55.165","54.705","55.195","54.625","0.93%"
"Nov 15, 2012","54.655","55.005","55.090","54.655","-0.67%"
"Nov 14, 2012","55.025","54.895","55.025","54.805","0.02%"
"Nov 13, 2012","55.015","54.975","55.045","54.835","0.24%"
"Nov 12, 2012","54.885","54.585","55.125","54.585","0.53%"
"Nov 09, 2012","54.595","54.315","54.790","54.230","0.42%"
"Nov 08, 2012","54.365","54.205","54.677","54.115","0.30%"
"Nov 07, 2012","54.205","54.355","54.358","53.965","-0.40%"
"Nov 06, 2012","54.425","54.505","54.798","54.355","-0.31%"
"Nov 05, 2012","54.595","53.875","54.685","53.755","1.45%"
"Nov 02, 2012","53.815","53.685","53.875","53.602","0.29%"
"Nov 01, 2012","53.660","53.810","53.940","53.660","-0.27%"
"Oct 31, 2012","53.805","53.965","54.209","53.775","-0.30%"
"Oct 30, 2012","53.965","54.085","54.195","53.805","-0.22%"
"Oct 29, 2012","54.085","53.855","54.090","53.757","0.99%"
"Oct 26, 2012","53.555","53.555","53.585","53.455","0.00%"
"Oct 25, 2012","53.555","53.735","53.830","53.475","-0.34%"
"Oct 24, 2012","53.740","53.730","53.740","53.610","0.03%"
"Oct 23, 2012","53.725","53.475","53.845","53.340","0.31%"
"Oct 22, 2012","53.560","53.830","53.900","53.445","-0.53%"
"Oct 19, 2012","53.845","53.415","53.995","53.305","0.47%"
"Oct 18, 2012","53.595","52.845","53.595","52.745","1.38%"
"Oct 17, 2012","52.865","52.845","53.005","52.685","0.08%"
"Oct 16, 2012","52.825","53.030","53.030","52.790","-0.30%"
"Oct 15, 2012","52.985","52.920","53.165","52.915","0.33%"
"Oct 12, 2012","52.810","52.675","52.925","52.505","0.28%"
"Oct 11, 2012","52.665","53.055","53.180","52.595","-0.68%"
"Oct 10, 2012","53.025","52.685","53.195","52.585","0.63%"
"Oct 09, 2012","52.695","52.655","52.850","52.235","0.29%"
"Oct 08, 2012","52.545","51.885","52.655","51.745","1.21%"
"Oct 05, 2012","51.915","51.745","52.045","51.365","0.33%"
"Oct 04, 2012","51.745","52.150","52.225","51.665","-0.95%"
"Oct 03, 2012","52.240","52.440","52.580","52.125","-0.36%"
"Oct 02, 2012","52.430","52.400","52.445","52.320","0.10%"
"Oct 01, 2012","52.380","52.830","53.010","52.310","-0.90%"
"Sep 28, 2012","52.855","53.015","53.015","52.505","-0.14%"
"Sep 27, 2012","52.930","53.600","53.600","52.900","-1.22%"
"Sep 26, 2012","53.585","53.365","53.635","53.365","0.41%"
"Sep 25, 2012","53.365","53.465","53.625","53.250","-0.14%"
"Sep 24, 2012","53.440","53.405","53.550","53.060","0.14%"
"Sep 21, 2012","53.365","54.295","54.295","53.330","-1.66%"
"Sep 20, 2012","54.265","54.295","54.420","54.205","0.44%"
"Sep 19, 2012","54.025","54.025","54.025","54.025","0.22%"
"Sep 18, 2012","53.905","54.015","54.380","53.905","0.04%"
"Sep 17, 2012","53.885","53.765","54.165","53.655","-0.77%"
"Sep 14, 2012","54.305","55.425","55.425","54.295","-1.88%"
"Sep 13, 2012","55.345","55.215","55.485","55.181","0.24%"
"Sep 12, 2012","55.215","55.345","55.385","55.080","-0.07%"
"Sep 11, 2012","55.255","55.445","55.545","55.255","-0.34%"
"Sep 10, 2012","55.445","55.305","55.480","55.255","0.14%"
"Sep 07, 2012","55.365","55.665","55.665","55.275","-0.54%"
"Sep 06, 2012","55.665","55.910","56.030","55.625","-0.44%"
"Sep 05, 2012","55.910","55.655","55.995","55.655","0.53%"
"Sep 04, 2012","55.615","55.535","55.705","55.365","0.14%"
"Sep 03, 2012","55.535","55.528","55.595","55.405","0.02%"
"Aug 31, 2012","55.525","55.635","55.780","55.520","-0.20%"
"Aug 30, 2012","55.635","55.630","55.755","55.575","-0.13%"
"Aug 29, 2012","55.705","55.670","55.781","55.574","0.07%"
"Aug 28, 2012","55.665","55.695","55.895","55.623","-0.05%"
"Aug 27, 2012","55.695","55.420","55.725","55.345","0.34%"
"Aug 24, 2012","55.505","55.265","55.555","55.183","0.43%"
"Aug 23, 2012","55.265","55.490","55.490","55.120","-0.42%"
"Aug 22, 2012","55.500","55.365","55.555","55.315","0.34%"
"Aug 21, 2012","55.310","55.670","55.670","55.310","-0.35%"
"Aug 20, 2012","55.505","55.655","55.675","55.505","-0.41%"
"Aug 17, 2012","55.735","55.625","55.785","55.610","0.20%"
"Aug 16, 2012","55.625","55.655","56.040","55.625","0.17%"
"Aug 15, 2012","55.530","55.660","55.660","55.530","-0.14%"
"Aug 14, 2012","55.610","55.350","55.785","55.350","0.48%"
"Aug 13, 2012","55.345","55.341","55.480","55.188","0.11%"
"Aug 10, 2012","55.285","55.275","55.475","55.145","0.19%"
"Aug 09, 2012","55.180","55.430","55.430","55.055","-0.19%"
"Aug 08, 2012","55.285","55.070","55.425","54.960","0.39%"
"Aug 07, 2012","55.070","55.525","55.525","55.065","-0.82%"
"Aug 06, 2012","55.525","55.485","55.655","55.234","-0.41%"
"Aug 03, 2012","55.755","55.845","56.200","55.725","-0.16%"
"Aug 02, 2012","55.845","55.475","55.900","55.475","0.67%"
"Aug 01, 2012","55.475","55.655","55.755","55.425","-0.15%"
"Jul 31, 2012","55.560","55.595","55.865","55.410","0.22%"
"Jul 30, 2012","55.440","55.250","55.620","55.140","0.33%"
"Jul 27, 2012","55.255","55.535","55.635","55.245","-0.44%"
"Jul 26, 2012","55.500","56.170","56.170","55.410","-0.94%"
"Jul 25, 2012","56.025","56.125","56.445","56.025","-0.28%"
"Jul 24, 2012","56.180","55.975","56.230","55.905","0.45%"
"Jul 23, 2012","55.930","55.310","55.985","55.230","1.09%"
"Jul 20, 2012","55.325","55.125","55.335","55.045","0.27%"
"Jul 19, 2012","55.175","55.265","55.455","55.115","-0.26%"
"Jul 18, 2012","55.320","55.110","55.555","54.960","0.51%"
"Jul 17, 2012","55.040","55.030","55.220","54.810","-0.03%"
"Jul 16, 2012","55.055","54.905","55.375","54.767","-0.16%"
"Jul 13, 2012","55.145","55.935","55.935","55.105","-1.24%"
"Jul 12, 2012","55.840","55.630","55.960","55.450","0.56%"
"Jul 11, 2012","55.530","55.400","55.735","55.255","0.24%"
"Jul 10, 2012","55.395","55.825","55.945","55.335","-0.81%"
"Jul 09, 2012","55.850","55.933","56.080","55.818","0.79%"
"Jul 06, 2012","55.410","54.950","55.650","54.950","0.81%"
"Jul 05, 2012","54.965","54.495","55.235","54.435","0.77%"
"Jul 04, 2012","54.545","54.375","54.865","54.185","0.60%"
"Jul 03, 2012","54.220","55.440","55.450","54.220","-2.11%"
"Jul 02, 2012","55.390","55.490","55.920","55.390","-0.22%"
"Jun 29, 2012","55.510","56.810","56.810","55.510","-2.31%"
"Jun 28, 2012","56.825","56.985","57.115","56.765","-0.11%"
"Jun 27, 2012","56.890","57.010","57.250","56.830","-0.13%"
"Jun 26, 2012","56.965","57.015","57.205","56.835","0.00%"
"Jun 25, 2012","56.965","56.725","57.135","56.380","-0.28%"
"Jun 22, 2012","57.125","56.305","57.330","56.205","1.54%"
"Jun 21, 2012","56.260","56.160","56.565","56.110","0.20%"
"Jun 20, 2012","56.150","55.960","56.250","55.790","0.47%"
"Jun 19, 2012","55.885","55.920","56.135","55.795","0.10%"
"Jun 18, 2012","55.830","55.330","56.035","55.270","0.79%"
"Jun 15, 2012","55.395","55.805","55.805","55.350","-0.57%"
"Jun 14, 2012","55.710","55.685","55.890","55.620","0.25%"
